Total Price,Cost/Square Ft,Square Ft,Bedroom,Bathroom,Contact
₹ 2.45 - 2.68 Cr,"₹ 22,032/sq.ft.","1,112-1,215 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-aurum-q-islands-r4-ghansoli-navi-mumbai-1112-sq-ft-to-1215-sq-ft-npspid-P49046167
₹ 49 Lac,"₹ 7,205/sq.ft.",680 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ulwe-navi-mumbai-680-sq-ft-spid-F49026129
₹ 88.97 - 98.66 Lac,"₹ 8,140/sq.ft.","1,093-1,212 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-greens-panvel-navi-mumbai-1093-sq-ft-to-1212-sq-ft-npspid-P49027931
₹ 74 Lac,"₹ 11,384/sq.ft.",650 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-chamunda-enclave-sector-29-c-airoli-mumbai-navi-650-sq-ft-spid-T48381471
₹ 1.42 - 1.66 Cr,"₹ 13,000/sq.ft.","1,090-1,275 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-eleganza-jeejamata-nagar-mumbai-navi-1090-sq-ft-to-1275-sq-ft-npspid-N49046793
₹ 2.17 - 2.31 Cr,"₹ 13,500/sq.ft.","1,650-1,670 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-eleganza-jeejamata-nagar-mumbai-navi-1650-sq-ft-to-1670-sq-ft-npspid-D49046791
₹ 1.75 Cr,"₹ 10,937/sq.ft.","1,600 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-army-welfare-chs-sector-15-nerul-mumbai-navi-1600-sq-ft-r1-spid-M46977533
₹ 40 Lac,"₹ 4,444/sq.ft.",900 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ashiana-panvel-pride-kewale-mumbai-navi-900-sq-ft-spid-T48469411
₹ 75 Lac,"₹ 7,142/sq.ft.","1,050 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-18-ulwe-mumbai-navi-1050-sq-ft-spid-N49003921
₹ 1.55 Cr,"₹ 11,923/sq.ft.","1,300 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mahavir-drishti-sector-12-kharghar-mumbai-navi-1300-sq-ft-spid-E49021581
₹ 1.05 Cr,"₹ 9,813/sq.ft.","1,070 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-juhi-niharika-residency-sector-34-b-kharghar-mumbai-navi-1070-sq-ft-r1-spid-B47385591
₹ 1.8 Cr,"₹ 11,250/sq.ft.","1,600 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-20-airoli-mumbai-navi-1600-sq-ft-spid-C48938741
₹ 39 Lac,"₹ 6,724/sq.ft.",580 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-old-panvel-mumbai-navi-580-sq-ft-spid-J48510015
₹ 2.03 Cr,"₹ 11,160/sq.ft.","1,819 sq.ft.",4 BHK,3 Baths,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-world-city-panvel-navi-mumbai-1819-sq-ft-npspid-V48978097
₹ 1.29 - 1.45 Cr,"₹ 11,111/sq.ft.","1,161-1,307 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-world-city-panvel-navi-mumbai-1161-sq-ft-to-1307-sq-ft-npspid-V48978095
₹ 91.58 - 95.13 Lac,"₹ 11,100/sq.ft.",825-857 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-world-city-panvel-navi-mumbai-825-sq-ft-to-857-sq-ft-npspid-G48978093
₹ 62.41 - 88.94 Lac,"₹ 10,742/sq.ft.",581-828 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-marathon-nexzone-new-panvel-navi-mumbai-581-sq-ft-to-828-sq-ft-npspid-X49027709
₹ 82 Lac,"₹ 13,486/sq.ft.",608 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-balaji-symphony-new-panvel-navi-mumbai-608-sq-ft-npspid-V48978183
₹ 1.6 Cr,"₹ 13,333/sq.ft.","1,200 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-eminence-nerul-navi-mumbai-1200-sq-ft-spid-E48844553
₹ 63.5 Lac,"₹ 5,599/sq.ft.","1,134 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gami-amar-harmony-taloja-panchanand-navi-mumbai-1134-sq-ft-spid-U49054495
₹ 1.07 Cr,"₹ 12,050/sq.ft.",888 sq.ft.,3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-marathon-nexzone-new-panvel-navi-mumbai-888-sq-ft-npspid-C49027715
₹ 1.23 Cr,"₹ 13,236/sq.ft.",931 sq.ft.,3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-balaji-symphony-new-panvel-navi-mumbai-931-sq-ft-npspid-Z48978181
₹ 1.13 Cr,"₹ 13,487/sq.ft.",837 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-balaji-symphony-new-panvel-navi-mumbai-837-sq-ft-npspid-I48978177
₹ 47.26 - 67.83 Lac,"₹ 10,935/sq.ft.",432-620 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-greens-panvel-navi-mumbai-432-sq-ft-to-620-sq-ft-npspid-C49027933
₹ 1.36 Cr,"₹ 8,831/sq.ft.","1,540 sq.ft.",3 BHK,2 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adhiraj-gardens-sector-5-kharghar-mumbai-navi-1540-sq-ft-spid-I49046105
₹ 47 Lac,"₹ 4,747/sq.ft.",990 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lk-damayanti-residency-taloja-panchanand-navi-mumbai-990-sq-ft-npspid-S48530347
₹ 32.78 Lac,"₹ 5,959/sq.ft.",550 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sarang-plumbago-vadghar-mumbai-navi-550-sq-ft-npspid-H49036571
₹ 82 Lac,"₹ 9,111/sq.ft.",900 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-prajapati-residency-1-sector-5-kharghar-mumbai-navi-900-sq-ft-spid-L49021315
₹ 58 Lac,"₹ 5,201/sq.ft.","1,115 sq.ft.",1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sai-proviso-sapphire-roadpali-mumbai-navi-1115-sq-ft-spid-Q48973051
₹ 1.45 Cr,"₹ 12,393/sq.ft.","1,170 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gopal-krishna-sector-30-belapur-mumbai-navi-1170-sq-ft-spid-E48924079
₹ 1.55 Cr,"₹ 10,285/sq.ft.","1,507 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-giriraj-horizon-sector-20-kharghar-mumbai-navi-1507-sq-ft-spid-V49045567
₹ 7 Cr,"₹ 22,012/sq.ft.","3,180 sq.ft.",4 BHK,4 Baths,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sector-46-seawoods-mumbai-navi-3180-sq-ft-r4-spid-E42559283
₹ 70 Lac,"₹ 6,481/sq.ft.","1,080 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kharghar-navi-mumbai-1080-sq-ft-spid-F47894957
₹ 3.11 Cr,"₹ 11,309/sq.ft.","2,750 sq.ft.",5 BHK,3 Baths,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-adhiraj-zinnia-kharghar-navi-mumbai-2750-sq-ft-r1-spid-Z46892261
₹ 3.6 Cr,"₹ 18,045/sq.ft.","1,995 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-akshar-sai-radiance-sector-15-belapur-navi-mumbai-1995-sq-ft-spid-P48975617
₹ 59.85 Lac,"₹ 14,752/sq.ft.",405 sq.ft.,1 RK,1 Bath,https://www.99acres.com/studio-apartment-flat-for-sale-in-arihant-aspire-panvel-navi-mumbai-406-sq-ft-npspid-P49030105
₹ 1.95 - 2.14 Cr,"₹ 11,800/sq.ft.","1,650-1,810 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rna-ng-grand-plaza-ghansoli-navi-mumbai-1650-sq-ft-to-1810-sq-ft-npspid-U49046315
₹ 1.53 - 1.68 Cr,"₹ 11,800/sq.ft.","1,299-1,427 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-rna-ng-grand-plaza-ghansoli-navi-mumbai-1299-sq-ft-to-1427-sq-ft-npspid-B49046313
₹ 2.21 Cr,"₹ 12,000/sq.ft.","1,844 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bhairaav-gold-crest-residency-ghansoli-navi-mumbai-1844-sq-ft-npspid-F48952459
₹ 1.98 - 2.17 Cr,"₹ 12,000/sq.ft.","1,650-1,810 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rna-ng-grand-plaza-ghansoli-navi-mumbai-1650-sq-ft-to-1810-sq-ft-npspid-D48935045
₹ 2 Cr,"₹ 10,000/sq.ft.","2,000 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rajkamal-bayside-sector-15-belapur-navi-mumbai-2000-sq-ft-spid-U49047363
₹ 70 Lac,"₹ 9,333/sq.ft.",750 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-3-kharghar-mumbai-navi-750-sq-ft-spid-H47735429
₹ 1.22 - 1.57 Cr,"₹ 24,875/sq.ft.",488-629 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-green-world-airoli-navi-mumbai-489-sq-ft-to-630-sq-ft-npspid-F48964273
₹ 1.58 Cr,"₹ 13,166/sq.ft.","1,200 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-eminence-nerul-navi-mumbai-1200-sq-ft-spid-O48844475
₹ 82 Lac,"₹ 7,809/sq.ft.","1,050 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-infra-millenium-icon-sector-9-ulwe-mumbai-navi-1050-sq-ft-spid-B49027107
₹ 82 Lac,"₹ 14,017/sq.ft.",585 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-14-koparkhairane-mumbai-navi-585-sq-ft-r1-spid-J45367025
₹ 1.69 - 2.28 Cr,"₹ 23,980/sq.ft.",704-952 sq.ft.,3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-green-world-airoli-navi-mumbai-704-sq-ft-to-952-sq-ft-npspid-Q48964277
₹ 97 Lac,"₹ 10,210/sq.ft.",950 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-raikar-narmada-chs-sector-19-airoli-mumbai-navi-950-sq-ft-spid-K48631201
₹ 74.16 - 80.19 Lac,"₹ 9,000/sq.ft.",824-891 sq.ft.,2 BHK,3 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-greens-panvel-navi-mumbai-824-sq-ft-to-891-sq-ft-npspid-D49027929
₹ 82 Lac,"₹ 5,239/sq.ft.","1,565 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sai-proviso-sapphire-roadpali-mumbai-navi-1565-sq-ft-spid-J48973169
₹ 1.4 Cr,"₹ 15,184/sq.ft.",922 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhakti-avenue-sea-woods-navi-mumbai-922-sq-ft-spid-E48714319
₹ 60.14 Lac,"₹ 12,978/sq.ft.",463 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-today-utsav-city-new-panvel-navi-mumbai-463-sq-ft-npspid-W48977861
₹ 54.23 Lac,"₹ 8,636/sq.ft.",628 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-wise-city-panvel-navi-mumbai-628-sq-ft-npspid-Z49037501
₹ 19.94 - 27.98 Lac,"₹ 8,188/sq.ft.",243-341 sq.ft.,1 RK,1 Bath,https://www.99acres.com/studio-apartment-flat-for-sale-in-guru-sai-janardhan-residency-wahal-mumbai-navi-244-sq-ft-to-341-sq-ft-npspid-I49046049
₹ 1.25 Cr,"₹ 9,615/sq.ft.","1,300 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-the-residency-apartment-sector-2a-kopar-khairane-mumbai-navi-1300-sq-ft-r1-spid-M47007605
₹ 60 Lac,"₹ 9,230/sq.ft.",650 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-20-kharghar-mumbai-navi-650-sq-ft-spid-V48790113
₹ 58.42 - 58.86 Lac,"₹ 10,391/sq.ft.",562-566 sq.ft.,2 BHK,3 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-belmac-riverside-new-panvel-navi-mumbai-562-sq-ft-to-566-sq-ft-npspid-Y48975697
₹ 1.05 Cr,"₹ 9,813/sq.ft.","1,070 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-juhi-niharika-residency-sector-34-b-kharghar-mumbai-navi-1070-sq-ft-spid-K48892951
₹ 45 Lac,"₹ 6,923/sq.ft.",650 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-2-ulwe-mumbai-navi-650-sq-ft-spid-O49003033
₹ 75 Lac,"₹ 8,721/sq.ft.",860 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-sansar-complex-sector-5-new-panvel-east-mumbai-navi-860-sq-ft-r2-spid-Z39968307
₹ 1.53 Cr,"₹ 11,906/sq.ft.","1,285 sq.ft.",3 BHK,2 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-20b-airoli-mumbai-navi-1285-sq-ft-r1-spid-V42396811
₹ 45 Lac,"₹ 6,766/sq.ft.",665 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-aum-apartment-ulwe-navi-mumbai-665-sq-ft-spid-P49045797
₹ 2.05 Cr,"₹ 11,325/sq.ft.","1,810 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rna-ng-grand-plaza-ghansoli-navi-mumbai-1810-sq-ft-spid-G48768223
₹ 1.5 Cr,"₹ 12,244/sq.ft.","1,225 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-crystals-sector-35d-kharghar-mumbai-navi-1225-sq-ft-spid-I48251643
₹ 1.1 Cr,"₹ 14,864/sq.ft.",740 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-16a-nerul-mumbai-navi-740-sq-ft-spid-H49021759
₹ 90 Lac,"₹ 8,571/sq.ft.","1,050 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-metro-tulsi-kamal-sector-10-kharghar-mumbai-navi-1050-sq-ft-spid-E48376379
₹ 57 Lac,"₹ 7,916/sq.ft.",720 sq.ft.,1 BHK,3 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-mahi-kripa-ranjanpada-mumbai-navi-720-sq-ft-r1-spid-R47618273
₹ 48 Lac,"₹ 4,173/sq.ft.","1,150 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-r-d-parvati-enclave-taloja-mumbai-others-1150-sq-ft-spid-N49050089
