Total Price,Cost/Square Ft,Square Ft,Bedroom,Bathroom,Contact
₹ 28.6 - 30.36 Lac,"₹ 10,517/sq.ft.",241-330 sq.ft.,1 BHK,3 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bhaveshwar-shree-sadguru-krupa-sadan-karanjada-mumbai-navi-242-sq-ft-to-330-sq-ft-npspid-E49036163
₹ 61.25 - 66.25 Lac,"₹ 16,945/sq.ft.",354-398 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-millennium-hilton-new-panvel-east-mumbai-navi-354-sq-ft-to-399-sq-ft-npspid-L49029037
₹ 82.35 - 98.5 Lac,"₹ 16,575/sq.ft.",500-590 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-millennium-hilton-new-panvel-east-mumbai-navi-500-sq-ft-to-590-sq-ft-npspid-Z49029033
₹ 87.44 - 96.96 Lac,"₹ 8,000/sq.ft.","1,093-1,212 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-indiabulls-greens-panvel-navi-mumbai-1093-sq-ft-to-1212-sq-ft-npspid-C48964063
₹ 18 Cr,"₹ 22,500/sq.ft.","8,000 sq.ft.",5 BHK,5 Baths,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-sector-18-sanpada-mumbai-navi-8000-sq-ft-r1-spid-L46817753
₹ 95 Lac,"₹ 8,637/sq.ft.","1,100 sq.ft.",3 BHK,2 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-18-kopar-khairane-mumbai-navi-1100-sq-ft-r3-spid-O43483565
₹ 82 Lac,"₹ 6,890/sq.ft.","1,190 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ak-patel-royal-sector-3-ulwe-mumbai-navi-1190-sq-ft-spid-W49020377
₹ 90 Lac,"₹ 200,000/sq.ft.",45 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-sale-in-navi-mumbai-45-sq-ft-spid-H48765563
₹ 52.27 Lac,"₹ 8,884/sq.ft.",588 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dosti-planet-north-shilphata-mumbai-navi-588-sq-ft-npspid-Q48942761
₹ 38 Lac,"₹ 15,200/sq.ft.",250 sq.ft.,1 RK,1 Bath,https://www.99acres.com/studio-apartment-flat-for-sale-in-sector-9-ghansoli-mumbai-navi-250-sq-ft-spid-X48589037
₹ 47.5 Lac,"₹ 11,073/sq.ft.",429 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-today-global-anandam-kharghar-navi-mumbai-429-sq-ft-npspid-I48979517
₹ 92 Lac,"₹ 8,251/sq.ft.","1,115 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-riddhi-siddhi-residency-sector-9-ulwe-mumbai-navi-1115-sq-ft-spid-I48691369
₹ 43 Lac,"₹ 6,718/sq.ft.",640 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-5-ulwe-mumbai-navi-640-sq-ft-spid-N48572321
₹ 45 Lac,"₹ 6,766/sq.ft.",665 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-varniraj-neelkanth-dham-ulwe-navi-mumbai-665-sq-ft-r1-spid-M47545081
₹ 66 Lac,"₹ 8,918/sq.ft.",740 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-siddharth-geetanjali-heights-sector-35d-kharghar-mumbai-navi-740-sq-ft-spid-U47516645
₹ 44.45 Lac,"₹ 7,000/sq.ft.",635 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-neelkanth-classic-kharghar-navi-mumbai-635-sq-ft-spid-J48409879
₹ 1.65 Cr,"₹ 8,461/sq.ft.","1,950 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-platinum-the-springs-roadpali-mumbai-navi-1950-sq-ft-spid-B48332493
₹ 38 Lac,"₹ 5,149/sq.ft.",738 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-gami-amar-harmony-taloja-panchanand-navi-mumbai-738-sq-ft-spid-T49009955
₹ 85 Lac,"₹ 7,555/sq.ft.","1,125 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-navi-mumbai-1125-sq-ft-spid-A48965695
₹ 48 Lac,"₹ 7,385/sq.ft.",650 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-jyot-darshan-sector-10-kharghar-mumbai-navi-650-sq-ft-r2-spid-F43562431
₹ 83 Lac,"₹ 9,222/sq.ft.",900 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-14-koparkhairane-mumbai-navi-900-sq-ft-spid-G48939099
₹ 3.33 Cr,"₹ 22,870/sq.ft.","1,456 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mahaavir-amrut-palm-beach-navi-mumbai-1456-sq-ft-spid-G48924433
₹ 1.31 Cr,"₹ 10,737/sq.ft.","1,220 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-moksh-sector-15-kharghar-mumbai-navi-1220-sq-ft-spid-U49045719
₹ 1.85 Cr,"₹ 12,982/sq.ft.","1,425 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-fortune-city-panvel-navi-mumbai-1425-sq-ft-npspid-D48984043
₹ 74 Lac,"₹ 8,705/sq.ft.",850 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kush-chs-sector-16-koparkhairane-mumbai-navi-850-sq-ft-spid-U49040805
₹ 88 Lac,"₹ 8,380/sq.ft.","1,050 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-proviso-green-view-sector-17-ulwe-mumbai-navi-1050-sq-ft-spid-T48238261
₹ 65 Lac,"₹ 7,222/sq.ft.",900 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-classics-shell-sector-3-new-panvel-mumbai-navi-900-sq-ft-spid-N48501779
₹ 80 Lac,"₹ 8,421/sq.ft.",950 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-21-ghansoli-mumbai-navi-950-sq-ft-spid-V47338967
₹ 50 Lac,"₹ 7,407/sq.ft.",675 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-infra-millenium-icon-sector-9-ulwe-mumbai-navi-675-sq-ft-spid-U48220879
₹ 26.86 - 42.78 Lac,"₹ 9,045/sq.ft.",297-473 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-lodha-codename-golden-dream-taloja-mumbai-others-297-sq-ft-to-473-sq-ft-npspid-M48977815
₹ 90 Lac,"₹ 7,200/sq.ft.","1,250 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-44-seawoods-mumbai-navi-1250-sq-ft-spid-O49022947
₹ 62.11 Lac,"₹ 9,704/sq.ft.",640 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sai-sagar-sector-20-kharghar-mumbai-navi-640-sq-ft-spid-K48949897
₹ 2.2 Cr,"₹ 14,765/sq.ft.","1,490 sq.ft.",3 BHK,2 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-lakhanis-galaxy-belapur-navi-mumbai-1490-sq-ft-r1-spid-W47349807
₹ 46 Lac,"₹ 11,500/sq.ft.",400 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-4-belapur-mumbai-navi-400-sq-ft-spid-T48956261
₹ 58 Lac,"₹ 9,354/sq.ft.",620 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sector-21-ghansoli-mumbai-navi-620-sq-ft-spid-Q47785297
₹ 1.2 Cr,"₹ 10,434/sq.ft.","1,150 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-1-kopar-khairane-mumbai-navi-1150-sq-ft-spid-A49026197
₹ 55 Lac,"₹ 5,069/sq.ft.","1,085 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-city-icon-taloja-mumbai-others-1085-sq-ft-spid-E48978819
₹ 24.25 - 38.63 Lac,"₹ 8,166/sq.ft.",297-473 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-lodha-codename-golden-dream-taloja-mumbai-others-297-sq-ft-to-473-sq-ft-npspid-H48977813
₹ 3.7 Cr,"₹ 12,754/sq.ft.","2,901 sq.ft.",5 BHK,5 Baths,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-ghansoli-navi-mumbai-2901-sq-ft-r1-spid-X45506745
₹ 38 Lac,"₹ 5,352/sq.ft.",710 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-taloja-mumbai-others-710-sq-ft-spid-P49006455
₹ 46 Lac,"₹ 6,666/sq.ft.",690 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-riverdale-taloja-panchanand-navi-mumbai-690-sq-ft-spid-O49019967
₹ 36 Lac,"₹ 5,538/sq.ft.",650 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-karanjada-mumbai-navi-650-sq-ft-spid-W49042097
₹ 46 Lac,"₹ 7,324/sq.ft.",628 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-mahavir-patel-manzil-sector-19-ulwe-mumbai-navi-628-sq-ft-spid-L49026531
₹ 86 Lac,"₹ 7,319/sq.ft.","1,175 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kk-moreshwar-sector-21-ulwe-mumbai-navi-1175-sq-ft-spid-O48254757
₹ 41.01 Lac,"₹ 6,551/sq.ft.",626 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-vichumbe-mumbai-navi-626-sq-ft-spid-W48847907
₹ 1.48 Cr,"₹ 11,600/sq.ft.","1,275 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paradise-sai-mannat-sector-34a-kharghar-mumbai-navi-1275-sq-ft-npspid-H48506487
₹ 72 Lac,"₹ 15,839/sq.ft.",454 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-fortune-city-panvel-navi-mumbai-455-sq-ft-npspid-B48841219
₹ 2.81 Cr,"₹ 17,562/sq.ft.","1,600 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-national-sea-queen-excellency-sector-44-seawoods-mumbai-navi-1600-sq-ft-spid-R48144025
₹ 1 Cr,"₹ 10,000/sq.ft.","1,000 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sector-6-kopar-khairane-mumbai-navi-1000-sq-ft-spid-Z48707317
₹ 1.15 Cr,"₹ 12,004/sq.ft.",958 sq.ft.,2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-new-sector-50-nerul-mumbai-navi-958-sq-ft-spid-H48955937
₹ 73 Lac,"₹ 7,300/sq.ft.","1,000 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lucky-dream-heritage-sector-19-ulwe-mumbai-navi-1000-sq-ft-spid-Y48731711
₹ 56 Lac,"₹ 9,333/sq.ft.",600 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hari-madhur-milan-sector-5-new-panvel-east-mumbai-navi-600-sq-ft-spid-U48532555
₹ 1.64 Cr,"₹ 13,576/sq.ft.","1,208 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-eminence-sector-13-nerul-mumbai-navi-1208-sq-ft-spid-T47235899
₹ 54.78 Lac,"₹ 21,984/sq.ft.",249 sq.ft.,1 BHK,3 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-space-imperial-sector-16-ulwe-mumbai-navi-249-sq-ft-npspid-Q48958521
₹ 50 Lac,"₹ 7,633/sq.ft.",655 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-kharghar-navi-mumbai-655-sq-ft-spid-T48361279
₹ 2.65 Cr,"₹ 13,283/sq.ft.","1,995 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-greens-sector-23-kharghar-mumbai-navi-1995-sq-ft-spid-K48995347
₹ 33.5 Lac,"₹ 5,130/sq.ft.",653 sq.ft.,1 BHK,2 Baths,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-shree-hari-residency-shilphata-mumbai-navi-653-sq-ft-r1-spid-H45223257
₹ 1.64 Cr,"₹ 13,666/sq.ft.","1,200 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-eminence-sector-13-nerul-mumbai-navi-1200-sq-ft-r1-spid-J47621861
₹ 1.67 Cr,"₹ 13,916/sq.ft.","1,200 sq.ft.",2 BHK,2 Baths,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bhagwati-eminence-sector-13-nerul-mumbai-navi-1200-sq-ft-r1-spid-D47621783
₹ 3.5 Cr,"₹ 10,000/sq.ft.","3,500 sq.ft.",4 BHK,4 Baths,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ashtavinayak-kharghar-one-sector-21-kharghar-mumbai-navi-3500-sq-ft-npspid-A48477269
₹ 41.93 Lac,"₹ 6,500/sq.ft.",645 sq.ft.,1 BHK,1 Bath,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-the-palm-oak-sector-16-ulwe-mumbai-navi-645-sq-ft-spid-W48422129
₹ 2.2 Cr,"₹ 11,580/sq.ft.","1,900 sq.ft.",3 BHK,3 Baths,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-c-teja-signature-sector-30-belapur-mumbai-navi-1900-sq-ft-r2-spid-V43034209
